Result for RegNo: 22155135001
105402P,Design & Analysis of Algorithms,26,17,43,A,2.00
105403P,Operating Systems,22,16,38,B,2.00




Result for RegNo: 22155135037
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403,Digital Electronics,45,20,65,C,3.00
100404,Discrete Mathematics,25,18,43,P,4.00
100407,Human Resource Development and Organizational Behavior,28,23,51,D,3.00
105401,Computer Organization & Architecture,33,25,58,D,3.00
105402,Design & Analysis of Algorithms,26,15,41,P,3.00
105403,Operating Systems,26,24,50,D,3.00
PRACTICAL Results
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,26,16,42,A,2.00
105401P,Computer Organization & Architecture,26,17,43,A,2.00
105402P,Design & Analysis of Algorithms,26,15,41,A,2.00
105403P,Operating Systems,23,17,40,A,2.00


Result for RegNo: 22155135038
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403,Digital Electronics,13,18,31,F,3.00
100404,Discrete Mathematics,9,22,31,F,4.00
100407,Human Resource Development and Organizational Behavior,43,23,66,C,3.00
105401,Computer Organization & Architecture,44,25,69,C,3.00
105402,Design & Analysis of Algorithms,30,18,48,P,3.00
105403,Operating Systems,54,17,71,B,3.00
PRACTICAL Results
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,27,14,41,A,2.00
105401P,Computer Organization & Architecture,26,18,44,A,2.00
105402P,Design & Analysis of Algorithms,26,15,41,A,2.00
105403P,Operating Systems,25,17,42,A,2.00


Result for RegNo: 22155135039
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403,Digital Electronics,59,21,80,A,3.00
100404,Discrete Mathematics,55,25,80,A,4.00
100407,Human Resource Development and Organizational Behavior,55,26,81,A,3.00
105401,Computer Organization & Architecture,47,27,74,B,3.00
105402,Design & Analysis of Algorithms,49,22,71,B,3.00
105403,Operating Systems,38,27,65,C,3.00
PRACTICAL Results
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,26,14,40,A,2.00
105401P,Computer Organization & Architecture,27,17,44,A,2.00
105402P,Design & Analysis of Algorithms,28,17,45,A+,2.00
105403P,Operating Systems,26,17,43,A,2.00


Result for RegNo: 22155135040
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403,Digital Electronics,40,17,57,D,3.00
100404,Discrete Mathematics,26,14,40,P,4.00
100407,Human Resource Development and Organizational Behavior,40,21,61,C,3.00
105401,Computer Organization & Architecture,27,22,49,P,3.00
105402,Design & Analysis of Algorithms,15,17,32,F,3.00
105403,Operating Systems,27,10,37,P,3.00
PRACTICAL Results
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,25,12,37,B,2.00
105401P,Computer Organization & Architecture,26,17,43,A,2.00
105402P,Design & Analysis of Algorithms,24,15,39,B,2.00
105403P,Operating Systems,22,16,38,B,2.00


Result for RegNo: 22155135041
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403,Digital Electronics,27,16,43,P,3.00
100404,Discrete Mathematics,42,19,61,C,4.00
100407,Human Resource Development and Organizational Behavior,35,24,59,D,3.00
105401,Computer Organization & Architecture,42,25,67,C,3.00
105402,Design & Analysis of Algorithms,28,18,46,P,3.00
105403,Operating Systems,34,20,54,D,3.00
PRACTICAL Results
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,27,12,39,B,2.00
105401P,Computer Organization & Architecture,28,18,46,A+,2.00
105402P,Design & Analysis of Algorithms,24,15,39,B,2.00
105403P,Operating Systems,23,16,39,B,2.00




Result for RegNo: 22155135043
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403,Digital Electronics,29,16,45,P,3.00
100404,Discrete Mathematics,29,22,51,D,4.00
100407,Human Resource Development and Organizational Behavior,CA,24,24,F,3.00
105401,Computer Organization & Architecture,35,25,60,C,3.00
105402,Design & Analysis of Algorithms,28,16,44,P,3.00
105403,Operating Systems,27,18,45,P,3.00
PRACTICAL Results
